age,gender,job_role,years_of_experience,work_type,hours_worked_per_week,number_of_virtual_meetings,work_life_balance_rating,stress_level,productivity_change,social_isolation_rating,satisfaction_with_remote_work,company_support_for_remote_work,degree_of_remote_support,degree_of_social_isolation,degree_of_work-life_balance
32,Non-binary,Project Manager,12,Onsite,44,13,1,High,Decrease,1,Satisfied,5,High,Low,Low
49,Female,Project Manager,29,Hybrid,49,15,5,Low,Decrease,5,Neutral,4,High,High,High
36,Prefer not to say,Software Engineer,3,Hybrid,34,12,2,Low,Increase,4,Neutral,3,Medium,High,Low
41,Female,Software Engineer,34,Remote,32,15,3,High,Decrease,2,Unsatisfied,3,Medium,Low,Medium
30,Male,Software Engineer,29,Hybrid,58,15,1,Medium,Increase,2,Unsatisfied,2,Low,Low,Low
23,Female,Data Scientist,31,Remote,26,9,1,Medium,No Change,2,Unsatisfied,2,Low,Low,Low
30,Male,Software Engineer,17,Remote,57,5,1,Low,No Change,2,Unsatisfied,4,High,Low,Low
47,Female,Project Manager,31,Onsite,20,8,1,Low,Decrease,4,Neutral,1,Low,High,Low
33,Prefer not to say,Project Manager,23,Hybrid,26,0,4,High,Decrease,1,Satisfied,2,Low,Low,High
32,Male,Data Scientist,21,Hybrid,43,15,3,High,No Change,4,Neutral,3,Medium,High,Medium
43,Non-binary,Software Engineer,14,Onsite,52,0,5,High,Increase,2,Satisfied,3,Medium,Low,High
40,Female,Data Scientist,24,Hybrid,38,0,3,High,No Change,4,Neutral,1,Low,High,Medium
24,Non-binary,Data Scientist,5,Hybrid,53,14,1,Medium,Increase,3,Neutral,1,Low,Medium,Low
40,Male,Software Engineer,11,Onsite,20,13,1,Medium,Increase,5,Neutral,1,Low,High,Low
22,Female,Software Engineer,10,Hybrid,46,1,2,Low,Increase,1,Neutral,5,High,Low,Low
48,Non-binary,Software Engineer,35,Onsite,30,8,2,Low,No Change,3,Satisfied,2,Low,Medium,Low
60,Non-binary,Software Engineer,27,Remote,50,8,2,High,No Change,3,Satisfied,3,Medium,Medium,Low
50,Prefer not to say,Project Manager,10,Hybrid,50,0,1,Low,Increase,5,Satisfied,3,Medium,High,Low
36,Male,Data Scientist,33,Onsite,45,3,4,Medium,Decrease,3,Unsatisfied,4,High,Medium,High
35,Non-binary,Software Engineer,11,Hybrid,25,4,1,Medium,No Change,4,Satisfied,3,Medium,High,Low
32,Prefer not to say,Project Manager,12,Remote,35,7,3,Low,No Change,5,Satisfied,4,High,High,Medium
40,Female,Project Manager,31,Onsite,47,10,1,Medium,Decrease,3,Neutral,2,Low,Medium,Low
30,Non-binary,Data Scientist,22,Remote,43,5,1,Medium,Decrease,5,Neutral,2,Low,High,Low
52,Male,Data Scientist,22,Onsite,46,14,3,High,No Change,3,Neutral,2,Low,Medium,Medium
23,Prefer not to say,Software Engineer,17,Onsite,60,13,5,High,No Change,5,Neutral,5,High,High,High
40,Prefer not to say,Data Scientist,35,Hybrid,43,4,5,High,No Change,2,Unsatisfied,3,Medium,Low,High
45,Male,Data Scientist,15,Remote,33,8,1,Low,No Change,4,Satisfied,2,Low,High,Low
46,Female,Data Scientist,11,Hybrid,20,14,3,Low,Decrease,5,Satisfied,2,Low,High,Medium
37,Female,Software Engineer,16,Hybrid,27,2,1,Medium,No Change,4,Unsatisfied,3,Medium,High,Low
51,Female,Software Engineer,4,Onsite,43,1,5,Medium,No Change,4,Unsatisfied,2,Low,High,High
53,Male,Data Scientist,22,Onsite,29,0,1,Medium,No Change,4,Neutral,4,High,High,Low
28,Male,Project Manager,7,Remote,47,0,4,High,Decrease,1,Unsatisfied,3,Medium,Low,High
36,Female,Data Scientist,3,Remote,53,7,3,High,Decrease,2,Unsatisfied,2,Low,Low,Medium
55,Female,Project Manager,32,Hybrid,28,8,5,Low,Decrease,2,Satisfied,1,Low,Low,High
51,Prefer not to say,Software Engineer,14,Onsite,41,5,5,Medium,No Change,4,Unsatisfied,2,Low,High,High
52,Male,Data Scientist,5,Onsite,21,3,5,Low,Increase,4,Satisfied,5,High,High,High
54,Non-binary,Project Manager,12,Onsite,34,11,3,Low,No Change,2,Unsatisfied,5,High,Low,Medium
49,Male,Project Manager,31,Onsite,56,3,5,High,No Change,1,Satisfied,4,High,Low,High
47,Female,Software Engineer,11,Onsite,35,8,1,High,No Change,2,Satisfied,4,High,Low,Low
27,Prefer not to say,Project Manager,22,Hybrid,52,3,1,Low,Decrease,4,Satisfied,5,High,High,Low
25,Non-binary,Software Engineer,22,Remote,47,9,2,Medium,Decrease,1,Neutral,4,High,Low,Low
38,Prefer not to say,Data Scientist,35,Onsite,33,4,2,Low,Increase,2,Neutral,2,Low,Low,Low
42,Prefer not to say,Project Manager,18,Hybrid,48,9,5,Medium,Decrease,1,Satisfied,5,High,Low,High
33,Male,Software Engineer,6,Onsite,23,6,3,High,No Change,5,Unsatisfied,2,Low,High,Medium
44,Male,Software Engineer,4,Onsite,35,3,1,Low,Increase,3,Neutral,1,Low,Medium,Low
40,Female,Data Scientist,6,Remote,22,0,5,Medium,Increase,4,Satisfied,4,High,High,High
23,Male,Project Manager,8,Onsite,28,15,2,Medium,Increase,3,Satisfied,3,Medium,Medium,Low
31,Prefer not to say,Software Engineer,18,Remote,31,6,3,High,Increase,3,Neutral,2,Low,Medium,Medium
37,Male,Data Scientist,18,Remote,23,11,2,Low,No Change,4,Unsatisfied,4,High,High,Low
55,Female,Software Engineer,13,Remote,32,11,5,Medium,No Change,1,Satisfied,4,High,Low,High
51,Prefer not to say,Software Engineer,24,Hybrid,46,10,1,Low,No Change,1,Neutral,1,Low,Low,Low
34,Non-binary,Project Manager,10,Remote,40,1,1,Medium,Decrease,5,Neutral,4,High,High,Low
59,Prefer not to say,Software Engineer,17,Onsite,47,11,2,High,No Change,1,Neutral,3,Medium,Low,Low
53,Female,Project Manager,25,Hybrid,38,2,2,Low,Increase,2,Satisfied,3,Medium,Low,Low
38,Male,Data Scientist,25,Remote,59,12,5,Low,Increase,3,Neutral,1,Low,Medium,High
32,Male,Project Manager,17,Onsite,47,4,1,Medium,Increase,2,Unsatisfied,4,High,Low,Low
29,Female,Project Manager,18,Hybrid,20,6,5,Low,No Change,4,Satisfied,2,Low,High,High
38,Non-binary,Project Manager,26,Hybrid,50,9,1,High,Increase,2,Satisfied,2,Low,Low,Low
32,Male,Project Manager,21,Hybrid,32,0,4,High,No Change,3,Unsatisfied,1,Low,Medium,High
42,Prefer not to say,Data Scientist,4,Hybrid,33,11,5,Medium,Decrease,2,Neutral,2,Low,Low,High
27,Male,Project Manager,25,Hybrid,32,13,3,Medium,Decrease,5,Unsatisfied,5,High,High,Medium
31,Female,Data Scientist,9,Remote,30,9,1,Medium,No Change,1,Satisfied,3,Medium,Low,Low
53,Non-binary,Software Engineer,11,Remote,25,9,2,Medium,Increase,2,Neutral,5,High,Low,Low
57,Non-binary,Software Engineer,3,Onsite,40,12,4,High,Increase,3,Neutral,3,Medium,Medium,High
50,Non-binary,Project Manager,20,Onsite,32,13,1,Low,No Change,1,Neutral,1,Low,Low,Low
58,Female,Project Manager,8,Hybrid,35,5,5,Medium,Decrease,3,Neutral,5,High,Medium,High
48,Male,Project Manager,33,Hybrid,58,13,3,Medium,Decrease,3,Satisfied,5,High,Medium,Medium
37,Prefer not to say,Software Engineer,25,Hybrid,33,11,1,Medium,No Change,4,Satisfied,5,High,High,Low
41,Female,Software Engineer,2,Hybrid,48,4,1,Low,No Change,3,Unsatisfied,1,Low,Medium,Low
49,Male,Data Scientist,35,Remote,24,1,1,Medium,Decrease,5,Neutral,4,High,High,Low
23,Non-binary,Data Scientist,18,Remote,28,7,5,High,Increase,1,Unsatisfied,3,Medium,Low,High
24,Non-binary,Project Manager,12,Hybrid,20,14,2,Low,Decrease,2,Neutral,2,Low,Low,Low
41,Prefer not to say,Project Manager,35,Onsite,28,14,4,Medium,Decrease,1,Unsatisfied,1,Low,Low,High
39,Prefer not to say,Data Scientist,33,Hybrid,20,4,3,Low,Decrease,2,Satisfied,3,Medium,Low,Medium
47,Female,Data Scientist,6,Hybrid,28,0,1,Low,Decrease,3,Satisfied,2,Low,Medium,Low
60,Non-binary,Software Engineer,13,Hybrid,25,10,3,High,Increase,3,Satisfied,2,Low,Medium,Medium
41,Non-binary,Software Engineer,20,Remote,21,0,1,High,No Change,2,Neutral,2,Low,Low,Low
49,Prefer not to say,Project Manager,17,Remote,50,2,4,Medium,Decrease,5,Satisfied,5,High,High,High
27,Prefer not to say,Data Scientist,16,Onsite,50,3,5,High,No Change,2,Unsatisfied,5,High,Low,High
23,Male,Software Engineer,3,Onsite,31,14,4,Medium,Increase,1,Satisfied,2,Low,Low,High
43,Female,Data Scientist,16,Onsite,37,8,1,Medium,Decrease,2,Neutral,4,High,Low,Low
51,Prefer not to say,Project Manager,6,Onsite,42,4,2,Low,No Change,1,Satisfied,5,High,Low,Low
25,Prefer not to say,Software Engineer,28,Remote,55,12,5,Low,Increase,3,Satisfied,3,Medium,Medium,High
31,Female,Software Engineer,21,Onsite,24,7,4,Medium,Decrease,5,Neutral,4,High,High,High
60,Female,Software Engineer,31,Onsite,22,9,4,High,Decrease,1,Unsatisfied,2,Low,Low,High
52,Female,Data Scientist,18,Remote,52,0,1,High,No Change,2,Unsatisfied,2,Low,Low,Low
44,Male,Project Manager,20,Onsite,41,14,5,Medium,Increase,1,Unsatisfied,3,Medium,Low,High
42,Female,Data Scientist,15,Remote,21,7,3,High,No Change,4,Satisfied,5,High,High,Medium
53,Male,Software Engineer,3,Hybrid,49,15,2,Low,Decrease,2,Satisfied,4,High,Low,Low
52,Female,Software Engineer,29,Remote,32,7,4,High,Decrease,3,Unsatisfied,5,High,Medium,High
41,Prefer not to say,Project Manager,34,Hybrid,44,9,3,Low,Decrease,2,Neutral,5,High,Low,Medium
33,Non-binary,Software Engineer,3,Onsite,31,3,1,Low,Decrease,2,Satisfied,2,Low,Low,Low
43,Prefer not to say,Data Scientist,14,Hybrid,53,13,2,Medium,Decrease,5,Unsatisfied,5,High,High,Low
59,Male,Project Manager,20,Remote,23,13,5,Medium,Increase,4,Satisfied,3,Medium,High,High
40,Male,Project Manager,9,Onsite,32,4,3,High,No Change,2,Unsatisfied,2,Low,Low,Medium
56,Non-binary,Project Manager,23,Hybrid,28,9,1,Low,No Change,2,Neutral,2,Low,Low,Low
39,Female,Data Scientist,33,Remote,34,5,1,High,No Change,4,Satisfied,2,Low,High,Low
58,Non-binary,Software Engineer,2,Remote,50,0,4,Low,No Change,1,Neutral,5,High,Low,High
41,Non-binary,Data Scientist,33,Onsite,28,1,1,Medium,Decrease,1,Satisfied,5,High,Low,Low
31,Female,Software Engineer,12,Remote,35,0,5,High,No Change,5,Neutral,4,High,High,High
39,Prefer not to say,Software Engineer,8,Hybrid,58,14,1,High,Increase,1,Unsatisfied,3,Medium,Low,Low
59,Male,Project Manager,18,Remote,34,14,2,Medium,No Change,5,Neutral,4,High,High,Low
31,Non-binary,Project Manager,4,Remote,25,9,1,High,Increase,5,Unsatisfied,2,Low,High,Low
37,Male,Software Engineer,31,Onsite,54,8,5,Medium,No Change,3,Satisfied,1,Low,Medium,High
50,Prefer not to say,Project Manager,9,Hybrid,55,12,3,Medium,Decrease,1,Satisfied,3,Medium,Low,Medium
43,Prefer not to say,Project Manager,3,Hybrid,55,12,2,Medium,No Change,3,Neutral,5,High,Medium,Low
30,Female,Data Scientist,9,Hybrid,33,11,5,Low,No Change,4,Unsatisfied,1,Low,High,High
36,Male,Project Manager,4,Hybrid,21,4,1,High,Increase,3,Neutral,1,Low,Medium,Low
53,Prefer not to say,Data Scientist,34,Remote,22,6,5,High,Decrease,1,Satisfied,3,Medium,Low,High
57,Male,Project Manager,19,Remote,39,0,4,Low,Decrease,1,Satisfied,1,Low,Low,High
58,Male,Data Scientist,8,Onsite,35,15,2,Low,Decrease,2,Neutral,2,Low,Low,Low
46,Non-binary,Data Scientist,14,Remote,29,13,4,Medium,Increase,2,Unsatisfied,1,Low,Low,High
24,Prefer not to say,Project Manager,30,Onsite,60,4,3,High,Decrease,3,Satisfied,3,Medium,Medium,Medium
24,Female,Data Scientist,35,Remote,50,10,1,Low,Decrease,5,Satisfied,5,High,High,Low
30,Non-binary,Project Manager,20,Remote,27,14,2,Medium,No Change,3,Unsatisfied,3,Medium,Medium,Low
22,Prefer not to say,Software Engineer,6,Remote,43,3,2,Medium,No Change,4,Unsatisfied,4,High,High,Low
47,Prefer not to say,Project Manager,21,Onsite,47,7,1,Medium,Decrease,3,Satisfied,1,Low,Medium,Low
30,Male,Data Scientist,14,Onsite,56,14,3,Medium,Increase,4,Satisfied,5,High,High,Medium
26,Male,Project Manager,21,Hybrid,24,13,2,High,Decrease,2,Unsatisfied,4,High,Low,Low
32,Prefer not to say,Software Engineer,28,Onsite,41,13,1,Medium,Decrease,1,Neutral,1,Low,Low,Low
33,Female,Project Manager,25,Hybrid,33,7,1,High,No Change,3,Neutral,1,Low,Medium,Low
33,Male,Project Manager,10,Hybrid,42,12,3,High,Increase,2,Unsatisfied,2,Low,Low,Medium
57,Non-binary,Project Manager,26,Hybrid,28,4,5,High,Decrease,1,Neutral,2,Low,Low,High
50,Female,Data Scientist,25,Onsite,33,9,5,High,Decrease,3,Satisfied,2,Low,Medium,High
48,Prefer not to say,Project Manager,7,Onsite,55,1,2,Medium,Decrease,5,Neutral,1,Low,High,Low
22,Non-binary,Software Engineer,7,Onsite,47,10,1,Medium,Decrease,3,Neutral,1,Low,Medium,Low
23,Female,Data Scientist,34,Hybrid,35,14,2,Low,Decrease,2,Satisfied,4,High,Low,Low
25,Prefer not to say,Software Engineer,18,Remote,22,4,3,Low,Increase,1,Neutral,4,High,Low,Medium
22,Non-binary,Project Manager,2,Onsite,40,5,3,Medium,Increase,4,Satisfied,2,Low,High,Medium
57,Male,Project Manager,8,Hybrid,56,15,1,High,Decrease,1,Unsatisfied,4,High,Low,Low
58,Prefer not to say,Data Scientist,32,Onsite,57,9,5,Low,No Change,4,Satisfied,5,High,High,High
32,Prefer not to say,Data Scientist,21,Remote,36,5,3,High,No Change,4,Satisfied,5,High,High,Medium
41,Female,Data Scientist,15,Hybrid,32,5,4,Low,Increase,4,Unsatisfied,1,Low,High,High
51,Non-binary,Data Scientist,2,Remote,58,14,3,Low,Decrease,4,Satisfied,4,High,High,Medium
40,Female,Project Manager,12,Remote,22,5,2,Medium,Decrease,2,Satisfied,2,Low,Low,Low
43,Prefer not to say,Project Manager,17,Hybrid,58,2,2,Medium,Increase,2,Neutral,2,Low,Low,Low
37,Non-binary,Project Manager,26,Hybrid,27,9,1,Medium,Decrease,5,Satisfied,1,Low,High,Low
53,Non-binary,Project Manager,7,Onsite,51,9,3,Low,No Change,3,Satisfied,5,High,Medium,Medium
49,Non-binary,Project Manager,2,Onsite,53,10,4,Low,No Change,1,Unsatisfied,1,Low,Low,High
23,Female,Software Engineer,13,Hybrid,56,12,2,High,Decrease,3,Neutral,5,High,Medium,Low
29,Female,Project Manager,21,Remote,25,14,2,Low,Increase,1,Satisfied,3,Medium,Low,Low
24,Female,Data Scientist,20,Remote,33,14,1,Low,Increase,1,Satisfied,5,High,Low,Low
58,Male,Software Engineer,12,Onsite,35,5,5,Low,No Change,2,Neutral,2,Low,Low,High
42,Male,Project Manager,1,Hybrid,34,4,1,Low,Increase,5,Neutral,4,High,High,Low
53,Non-binary,Project Manager,27,Onsite,33,5,2,High,No Change,4,Satisfied,5,High,High,Low
39,Prefer not to say,Software Engineer,16,Remote,24,4,4,Medium,Decrease,5,Neutral,5,High,High,High
23,Male,Data Scientist,23,Remote,41,13,4,Low,No Change,2,Neutral,2,Low,Low,High
53,Female,Software Engineer,14,Onsite,40,13,4,Low,Increase,5,Unsatisfied,5,High,High,High
52,Non-binary,Project Manager,10,Onsite,47,3,3,Medium,Decrease,2,Neutral,3,Medium,Low,Medium
58,Female,Data Scientist,7,Onsite,53,2,5,Low,Decrease,4,Unsatisfied,1,Low,High,High
56,Prefer not to say,Data Scientist,25,Hybrid,27,13,1,High,No Change,4,Unsatisfied,5,High,High,Low
34,Female,Software Engineer,21,Hybrid,33,13,3,High,Increase,3,Unsatisfied,2,Low,Medium,Medium
50,Male,Software Engineer,29,Remote,40,5,3,Low,No Change,1,Neutral,4,High,Low,Medium
41,Male,Software Engineer,14,Remote,56,8,4,Medium,No Change,2,Satisfied,4,High,Low,High
49,Female,Data Scientist,6,Remote,37,13,4,Medium,Increase,1,Unsatisfied,3,Medium,Low,High
35,Female,Project Manager,32,Remote,36,0,1,Medium,Decrease,4,Unsatisfied,5,High,High,Low
60,Prefer not to say,Data Scientist,8,Onsite,51,14,4,Medium,No Change,4,Neutral,5,High,High,High
42,Female,Project Manager,29,Hybrid,42,14,5,Low,No Change,3,Satisfied,4,High,Medium,High
60,Female,Data Scientist,33,Hybrid,60,0,1,Medium,Increase,3,Neutral,4,High,Medium,Low
33,Non-binary,Software Engineer,6,Onsite,45,2,3,Medium,Increase,4,Unsatisfied,5,High,High,Medium
60,Male,Project Manager,6,Hybrid,33,11,2,Medium,Decrease,4,Satisfied,3,Medium,High,Low
25,Male,Software Engineer,10,Remote,24,0,2,Low,No Change,1,Unsatisfied,1,Low,Low,Low
30,Prefer not to say,Project Manager,26,Hybrid,28,4,3,High,Increase,1,Unsatisfied,5,High,Low,Medium
28,Female,Software Engineer,14,Hybrid,56,1,3,Medium,Increase,3,Unsatisfied,3,Medium,Medium,Medium
28,Non-binary,Project Manager,5,Onsite,22,5,2,Medium,No Change,4,Satisfied,1,Low,High,Low
36,Female,Software Engineer,14,Onsite,34,1,3,High,No Change,4,Unsatisfied,3,Medium,High,Medium
39,Prefer not to say,Software Engineer,32,Hybrid,51,10,1,High,Increase,4,Neutral,4,High,High,Low
59,Prefer not to say,Project Manager,27,Remote,25,11,4,High,No Change,1,Neutral,1,Low,Low,High
48,Male,Data Scientist,30,Remote,42,1,4,Medium,Increase,5,Unsatisfied,3,Medium,High,High
55,Prefer not to say,Data Scientist,8,Remote,49,10,5,Medium,No Change,2,Satisfied,5,High,Low,High
60,Prefer not to say,Software Engineer,20,Onsite,44,6,1,Low,Decrease,3,Unsatisfied,3,Medium,Medium,Low
22,Male,Project Manager,35,Onsite,26,12,3,High,Decrease,5,Neutral,3,Medium,High,Medium
38,Male,Project Manager,26,Hybrid,39,0,4,High,Increase,1,Neutral,3,Medium,Low,High
50,Female,Project Manager,18,Remote,45,1,5,Low,Decrease,5,Unsatisfied,2,Low,High,High
34,Female,Software Engineer,2,Hybrid,25,9,5,Medium,Decrease,2,Neutral,1,Low,Low,High
35,Female,Project Manager,8,Hybrid,25,14,5,High,No Change,3,Unsatisfied,4,High,Medium,High
54,Prefer not to say,Software Engineer,8,Remote,23,6,2,High,Decrease,4,Neutral,1,Low,High,Low
33,Male,Project Manager,18,Onsite,39,10,2,High,Decrease,4,Satisfied,5,High,High,Low
22,Male,Project Manager,26,Hybrid,23,0,5,High,Increase,4,Neutral,4,High,High,High
48,Prefer not to say,Software Engineer,25,Remote,39,3,1,High,Increase,2,Unsatisfied,2,Low,Low,Low
51,Male,Software Engineer,11,Onsite,33,5,1,Medium,Decrease,2,Unsatisfied,4,High,Low,Low
41,Female,Software Engineer,8,Remote,45,0,4,Medium,Increase,4,Satisfied,3,Medium,High,High
28,Male,Project Manager,23,Hybrid,46,6,2,Medium,Decrease,4,Satisfied,4,High,High,Low
43,Prefer not to say,Project Manager,35,Hybrid,29,4,3,Low,Increase,4,Unsatisfied,1,Low,High,Medium
31,Prefer not to say,Data Scientist,6,Hybrid,20,2,1,Low,No Change,5,Neutral,4,High,High,Low
56,Prefer not to say,Software Engineer,27,Hybrid,53,2,3,Low,Increase,1,Satisfied,2,Low,Low,Medium
31,Male,Project Manager,6,Hybrid,49,11,5,Low,Decrease,4,Unsatisfied,4,High,High,High
31,Prefer not to say,Project Manager,30,Remote,28,0,5,High,Decrease,3,Neutral,3,Medium,Medium,High
45,Non-binary,Software Engineer,31,Hybrid,20,1,1,Low,Decrease,4,Neutral,5,High,High,Low
55,Prefer not to say,Project Manager,11,Onsite,37,3,1,Medium,Decrease,1,Satisfied,1,Low,Low,Low
47,Female,Data Scientist,1,Hybrid,25,10,3,High,Decrease,3,Satisfied,3,Medium,Medium,Medium
33,Female,Software Engineer,13,Hybrid,36,2,5,Medium,No Change,2,Satisfied,5,High,Low,High
