department,gender,age,job_title,years_at_company,education_level,performance_score,monthly_salary,work_hours_per_week,projects_handled,overtime_hours,sick_days,work_type,training_hours,promotions,employee_satisfaction_score,resigned,motivation_score
IT,Female,54,Manager,7,Bachelor,2,7200.0,59,6,11,1,Remote,32,2,4.08,False,3.34
IT,Female,52,Manager,7,Bachelor,3,7800.0,39,4,20,2,Onsite,57,0,1.54,False,2.21
IT,Female,41,Technician,6,High School,4,4900.0,53,45,24,1,Hybrid,75,2,3.91,False,4.24
IT,Male,26,Manager,3,High School,5,9000.0,36,30,9,10,Onsite,3,1,1.62,False,2.69
IT,Female,26,Developer,3,Bachelor,4,7000.0,55,44,23,3,Hybrid,89,2,3.08,False,4.17
IT,Female,32,Manager,0,Bachelor,3,7800.0,49,17,25,13,Remote,7,1,1.29,True,2.14
IT,Female,23,Developer,8,High School,2,6000.0,44,36,14,9,Hybrid,89,2,2.82,False,3.6
IT,Female,34,Engineer,4,Bachelor,4,8400.0,35,2,5,0,Onsite,19,2,3.15,True,3.48
IT,Male,30,Developer,9,High School,3,6500.0,41,22,1,2,Onsite,41,1,2.31,False,2.74
IT,Male,42,Specialist,6,PhD,3,5850.0,32,7,24,8,Hybrid,94,2,1.89,False,3.67
IT,Male,53,Technician,0,PhD,4,4900.0,45,36,14,3,Onsite,7,1,2.35,False,2.66
IT,Female,27,Engineer,9,Bachelor,4,8400.0,51,2,2,1,Hybrid,64,0,3.03,False,2.9
IT,Female,48,Specialist,7,High School,2,5400.0,34,16,6,0,Onsite,97,1,2.47,False,3.1
IT,Male,35,Manager,2,Bachelor,3,7800.0,49,17,25,6,Onsite,57,2,4.16,True,3.87
IT,Male,40,Specialist,2,High School,3,5850.0,33,34,20,11,Remote,0,1,1.22,True,2.05
IT,Male,49,Developer,0,High School,2,6000.0,44,46,13,3,Onsite,14,0,1.82,False,1.6
IT,Female,39,Developer,3,High School,3,6500.0,40,48,20,9,Hybrid,64,1,2.76,False,3.09
IT,Male,27,Developer,0,Master,5,7500.0,30,16,5,1,Onsite,95,2,4.72,False,4.89
IT,Female,26,Manager,6,High School,3,7800.0,43,4,14,14,Hybrid,82,1,2.85,False,3.29
IT,Female,33,Engineer,5,PhD,5,9000.0,50,45,17,0,Onsite,16,0,1.32,False,2.24
IT,Female,35,Technician,6,Bachelor,3,4550.0,37,30,3,6,Hybrid,73,1,3.84,False,3.45
IT,Male,37,Manager,9,Bachelor,4,8400.0,35,2,20,3,Hybrid,55,0,2.37,False,2.65
IT,Female,53,Developer,7,High School,2,6000.0,41,1,27,10,Onsite,67,2,4.5,False,3.8
IT,Male,46,Manager,7,High School,3,7800.0,57,37,6,0,Onsite,25,2,3.2,False,3.3
IT,Male,32,Consultant,8,Bachelor,1,6050.0,57,49,23,0,Hybrid,50,0,2.43,False,1.86
IT,Male,47,Developer,2,High School,5,7500.0,49,36,8,3,Hybrid,71,0,2.19,True,3.01
IT,Female,32,Specialist,4,Bachelor,3,5850.0,50,27,17,10,Remote,65,1,4.39,False,3.5
IT,Female,45,Manager,4,High School,1,6600.0,43,34,29,4,Hybrid,43,0,1.01,False,1.44
IT,Male,60,Engineer,0,Bachelor,1,6600.0,53,3,24,1,Hybrid,59,1,1.12,False,2.13
IT,Female,33,Specialist,8,Master,5,6750.0,56,1,7,11,Remote,42,2,2.07,False,3.69
IT,Male,28,Manager,3,Bachelor,2,7200.0,43,37,24,3,Onsite,55,2,4.01,True,3.56
IT,Female,58,Specialist,4,Bachelor,3,5850.0,30,12,21,7,Onsite,68,2,2.74,False,3.62
IT,Male,35,Specialist,5,Bachelor,4,6300.0,41,49,0,11,Hybrid,24,0,3.98,False,2.74
IT,Female,51,Engineer,7,Bachelor,1,6600.0,32,31,27,0,Onsite,9,0,2.31,False,1.42
IT,Male,45,Developer,3,Bachelor,1,5500.0,38,22,21,3,Remote,56,0,4.13,False,2.35
IT,Male,47,Consultant,2,Bachelor,4,7700.0,54,33,13,10,Onsite,71,1,3.29,False,3.54
IT,Male,40,Engineer,7,PhD,1,6600.0,39,17,14,8,Hybrid,21,1,3.07,False,2.23
IT,Male,49,Specialist,6,Master,5,6750.0,44,19,26,10,Remote,71,0,2.16,False,3.01
IT,Male,56,Consultant,3,Bachelor,3,7150.0,34,29,18,2,Hybrid,38,0,1.29,False,1.96
IT,Female,43,Specialist,9,Bachelor,1,4950.0,45,7,2,5,Hybrid,42,1,4.78,False,2.87
IT,Male,23,Manager,7,Bachelor,3,7800.0,39,38,8,4,Hybrid,99,0,4.49,False,3.37
IT,Male,52,Specialist,5,High School,5,6750.0,40,7,20,1,Onsite,59,0,1.67,False,2.76
IT,Male,57,Engineer,9,Bachelor,3,7800.0,39,31,4,11,Hybrid,62,1,4.51,False,3.5
IT,Female,56,Developer,4,Master,1,5500.0,30,41,7,13,Hybrid,18,2,4.18,False,2.98
IT,Male,46,Manager,2,Bachelor,2,7200.0,38,48,12,0,Hybrid,57,2,2.58,False,3.22
IT,Female,54,Analyst,1,Master,3,5200.0,55,14,8,2,Remote,64,1,3.73,False,3.33
IT,Male,45,Specialist,4,Master,2,5400.0,36,48,20,4,Remote,14,0,3.68,False,2.06
IT,Female,29,Manager,9,Bachelor,1,6600.0,33,17,8,14,Remote,17,2,3.79,False,2.87
IT,Male,47,Technician,8,High School,1,3850.0,34,30,19,9,Remote,52,2,3.16,False,3.07
IT,Female,50,Consultant,3,Bachelor,4,7700.0,45,38,24,14,Onsite,76,0,4.92,False,3.5
IT,Female,43,Specialist,7,High School,2,5400.0,51,12,2,7,Onsite,75,2,3.18,False,3.55
IT,Female,41,Developer,4,Master,5,7500.0,33,28,26,10,Onsite,80,1,1.56,False,3.45
IT,Female,35,Manager,6,Bachelor,4,8400.0,53,32,10,1,Hybrid,73,1,2.62,False,3.39
IT,Female,43,Analyst,1,Bachelor,1,4400.0,49,35,5,11,Onsite,76,1,2.0,True,2.52
IT,Male,26,Developer,6,Master,2,6000.0,49,2,21,14,Onsite,91,2,3.52,False,3.8
IT,Female,60,Engineer,8,Bachelor,3,7800.0,50,9,21,5,Hybrid,59,1,4.73,True,3.53
IT,Male,31,Manager,9,High School,1,6600.0,55,30,14,8,Hybrid,11,2,2.63,False,2.52
IT,Male,22,Specialist,3,High School,4,6300.0,45,19,6,8,Onsite,85,2,1.16,False,3.65
IT,Male,41,Developer,7,Bachelor,2,6000.0,48,13,14,7,Onsite,9,1,1.67,False,2.01
IT,Male,47,Specialist,8,Master,2,5400.0,45,17,20,11,Remote,85,1,4.45,False,3.47
IT,Female,59,Analyst,0,High School,1,4400.0,44,46,2,8,Remote,73,1,4.11,False,3.01
IT,Other,40,Engineer,9,Bachelor,5,9000.0,31,42,10,13,Hybrid,69,1,4.08,False,3.97
IT,Male,33,Manager,4,PhD,3,7800.0,40,39,7,5,Remote,74,2,4.21,False,4.05
IT,Female,23,Specialist,6,Bachelor,5,6750.0,59,6,2,5,Remote,15,2,3.64,False,3.81
IT,Female,23,Manager,6,Bachelor,5,9000.0,55,15,20,4,Remote,69,2,1.88,False,3.92
IT,Male,34,Consultant,5,High School,4,7700.0,47,5,20,10,Hybrid,6,0,3.82,False,2.52
IT,Female,32,Specialist,9,Bachelor,4,6300.0,31,49,12,6,Onsite,56,1,4.59,False,3.71
IT,Male,39,Consultant,7,Bachelor,2,6600.0,30,20,15,5,Hybrid,86,1,2.04,False,2.88
IT,Female,42,Analyst,4,Master,2,4800.0,51,15,15,10,Remote,61,2,4.93,False,3.85
IT,Male,39,Engineer,6,Master,3,7800.0,53,34,21,9,Onsite,25,2,2.5,False,3.13
IT,Male,46,Engineer,2,Bachelor,2,7200.0,49,29,26,10,Onsite,48,1,4.62,False,3.14
IT,Female,44,Consultant,3,Master,5,8250.0,48,7,0,13,Onsite,75,2,4.53,False,4.64
IT,Male,56,Specialist,3,Master,5,6750.0,58,20,15,3,Onsite,76,0,4.5,False,3.64
IT,Female,49,Consultant,5,Bachelor,1,6050.0,60,47,23,11,Onsite,21,0,2.01,False,1.46
IT,Male,25,Specialist,3,Bachelor,2,5400.0,36,16,12,0,Hybrid,66,1,4.56,True,3.31
IT,Female,46,Consultant,3,Bachelor,5,8250.0,51,4,6,0,Hybrid,98,0,2.8,False,3.44
IT,Female,26,Engineer,5,Bachelor,2,7200.0,57,22,6,12,Hybrid,47,0,3.46,True,2.34
IT,Female,25,Engineer,9,Bachelor,3,7800.0,47,19,15,4,Hybrid,69,1,2.34,False,3.03
IT,Female,53,Manager,1,Bachelor,3,7800.0,42,1,10,4,Remote,70,1,3.18,False,3.25
IT,Female,37,Engineer,6,High School,4,8400.0,43,17,9,11,Onsite,78,0,3.82,False,3.24
IT,Female,60,Analyst,4,Master,3,5200.0,57,9,21,13,Onsite,45,1,2.39,False,2.8
IT,Male,53,Engineer,5,High School,5,9000.0,57,21,12,6,Remote,97,0,3.66,False,3.64
IT,Female,29,Engineer,1,High School,4,8400.0,60,42,10,5,Hybrid,17,1,2.0,False,2.67
IT,Female,51,Developer,5,High School,5,7500.0,41,35,1,14,Onsite,62,0,4.49,True,3.5
IT,Male,32,Analyst,3,High School,2,4800.0,36,36,21,10,Hybrid,47,0,1.59,False,1.87
IT,Female,48,Manager,8,Bachelor,5,9000.0,43,4,15,11,Hybrid,86,1,1.68,False,3.54
IT,Female,24,Engineer,0,Bachelor,5,9000.0,42,42,26,3,Onsite,93,1,3.73,False,4.12
IT,Female,23,Consultant,8,Master,4,7700.0,33,47,20,6,Hybrid,2,1,4.27,True,3.09
IT,Female,24,Specialist,5,Bachelor,5,6750.0,44,48,25,2,Hybrid,92,0,2.6,False,3.33
IT,Female,50,Consultant,1,PhD,1,6050.0,59,26,21,1,Onsite,45,1,1.05,False,1.97
IT,Female,45,Engineer,0,Master,5,9000.0,57,25,20,10,Onsite,59,1,1.73,False,3.28
IT,Female,31,Analyst,3,Bachelor,3,5200.0,33,23,1,3,Remote,40,2,4.89,False,3.88
IT,Male,30,Consultant,9,Bachelor,1,6050.0,49,39,23,2,Hybrid,1,0,3.29,False,1.58
IT,Female,42,Consultant,4,Bachelor,1,6050.0,53,44,15,2,Onsite,28,2,2.94,False,2.77
IT,Male,49,Analyst,0,Bachelor,3,5200.0,50,34,27,3,Hybrid,40,1,2.15,False,2.69
IT,Female,23,Manager,1,Bachelor,4,8400.0,59,16,20,1,Onsite,53,0,2.65,False,2.7
IT,Female,42,Developer,9,PhD,2,6000.0,48,32,7,2,Hybrid,56,2,1.85,True,3.03
IT,Female,51,Developer,6,Bachelor,4,7000.0,48,48,17,8,Hybrid,64,0,3.05,False,2.91
IT,Male,55,Consultant,3,Master,4,7700.0,53,11,27,12,Onsite,87,2,4.77,False,4.57
IT,Female,34,Consultant,6,Bachelor,2,6600.0,33,31,21,2,Remote,37,0,2.71,False,2.05
IT,Female,31,Analyst,7,High School,3,5200.0,38,17,6,5,Onsite,57,0,1.99,False,2.32
IT,Male,26,Analyst,2,Bachelor,5,6000.0,34,32,16,3,Hybrid,58,1,2.01,False,3.34
IT,Male,55,Developer,0,Bachelor,1,5500.0,40,48,18,4,Hybrid,56,1,4.33,False,2.9
IT,Male,45,Technician,8,High School,5,5250.0,51,24,13,5,Hybrid,44,0,4.95,False,3.43
IT,Male,43,Developer,7,High School,5,7500.0,47,12,25,8,Hybrid,30,0,4.39,True,3.15
IT,Male,35,Consultant,7,Bachelor,5,8250.0,51,8,23,6,Hybrid,97,0,1.9,False,3.2
IT,Female,33,Technician,2,Bachelor,2,4200.0,55,19,7,5,Onsite,78,0,3.54,False,2.67
IT,Female,47,Consultant,9,High School,5,8250.0,53,9,3,6,Remote,84,2,3.32,False,4.43
IT,Female,25,Developer,1,Bachelor,1,5500.0,30,16,20,1,Remote,33,0,3.73,False,2.02
IT,Female,56,Manager,7,Bachelor,5,9000.0,31,15,8,7,Remote,22,1,3.83,False,3.43
IT,Female,49,Developer,2,Bachelor,5,7500.0,34,11,8,5,Hybrid,27,0,4.19,False,3.07
IT,Male,60,Specialist,1,Bachelor,5,6750.0,36,17,28,2,Remote,71,1,1.49,False,3.34
IT,Female,39,Developer,7,Bachelor,1,5500.0,34,35,7,6,Remote,56,0,4.84,False,2.53
IT,Male,52,Engineer,2,Bachelor,4,8400.0,43,4,20,2,Hybrid,93,2,2.52,False,4.07
IT,Male,48,Engineer,2,Master,4,8400.0,44,8,23,8,Remote,75,2,1.6,False,3.66
IT,Female,38,Engineer,6,High School,5,9000.0,42,44,19,11,Remote,76,0,4.5,False,3.64
IT,Male,43,Manager,7,Bachelor,1,6600.0,56,31,4,4,Remote,77,0,4.81,False,2.73
IT,Male,48,Engineer,8,High School,4,8400.0,47,9,18,5,Remote,93,1,3.33,False,3.77
IT,Female,55,Analyst,9,Master,3,5200.0,36,34,13,12,Hybrid,98,0,2.83,False,2.95
IT,Male,34,Consultant,6,Bachelor,1,6050.0,55,7,4,7,Onsite,19,2,4.28,False,3.01
IT,Male,54,Specialist,4,High School,1,4950.0,34,10,29,3,Remote,30,2,3.22,False,2.86
IT,Male,22,Specialist,0,Bachelor,4,6300.0,34,7,10,13,Onsite,70,1,4.51,False,3.83
IT,Other,28,Consultant,3,Bachelor,5,8250.0,52,23,18,1,Onsite,51,2,2.16,False,3.81
IT,Male,37,Specialist,2,Bachelor,3,5850.0,60,33,24,2,Remote,17,2,4.78,False,3.62
IT,Female,40,Manager,8,PhD,4,8400.0,32,26,5,10,Remote,32,1,4.62,False,3.48
IT,Male,57,Developer,2,Master,2,6000.0,40,25,11,3,Hybrid,29,0,2.91,False,2.02
IT,Male,25,Manager,0,Master,2,7200.0,46,12,14,7,Onsite,38,0,2.0,False,1.88
IT,Male,36,Developer,2,Bachelor,1,5500.0,43,23,4,8,Onsite,99,0,1.88,False,2.22
IT,Male,57,Analyst,1,Bachelor,5,6000.0,32,0,3,3,Hybrid,44,0,4.01,False,3.2
IT,Male,43,Analyst,9,Master,5,6000.0,46,3,21,8,Hybrid,84,1,4.44,False,4.21
IT,Male,50,Engineer,1,High School,3,7800.0,52,30,11,8,Hybrid,85,2,4.25,False,4.17
IT,Female,47,Engineer,1,Master,1,6600.0,32,38,9,9,Remote,31,2,3.3,False,2.89
IT,Female,28,Analyst,5,Master,1,4400.0,43,27,21,11,Hybrid,29,0,4.37,False,2.14
IT,Female,26,Analyst,8,High School,4,5600.0,52,1,7,6,Hybrid,21,1,3.29,False,3.03
IT,Female,58,Manager,3,Bachelor,2,7200.0,46,49,17,8,Hybrid,79,0,3.79,False,2.75
IT,Male,31,Manager,2,PhD,5,9000.0,50,32,14,11,Remote,17,1,3.58,False,3.32
IT,Male,50,Specialist,9,High School,3,5850.0,59,37,0,6,Onsite,10,1,1.95,False,2.34
IT,Female,50,Engineer,5,Bachelor,1,6600.0,36,12,11,10,Remote,73,0,1.35,False,1.82
IT,Female,28,Developer,4,High School,3,6500.0,57,14,9,10,Onsite,63,1,4.49,False,3.51
IT,Male,49,Developer,1,Bachelor,2,6000.0,51,36,29,10,Remote,88,0,3.24,False,2.7
IT,Male,44,Specialist,9,Master,1,4950.0,47,29,22,7,Onsite,94,0,1.26,False,2.01
IT,Male,33,Specialist,6,Bachelor,3,5850.0,38,7,18,14,Hybrid,62,1,1.28,False,2.7
IT,Other,60,Technician,8,Bachelor,2,4200.0,56,2,22,1,Onsite,87,2,4.74,False,4.06
IT,Male,53,Analyst,4,Bachelor,4,5600.0,47,8,22,0,Remote,54,0,2.24,False,2.61
IT,Male,28,Specialist,1,Bachelor,5,6750.0,41,6,0,8,Remote,77,0,3.92,False,3.51
IT,Male,59,Engineer,4,Master,4,8400.0,31,6,17,2,Hybrid,31,2,1.6,False,3.21
IT,Male,29,Consultant,6,Bachelor,5,8250.0,32,37,6,13,Onsite,92,0,3.65,False,3.59
IT,Female,51,Technician,0,Master,4,4900.0,43,15,25,8,Remote,80,1,2.92,False,3.54
IT,Male,36,Analyst,2,High School,2,4800.0,35,43,15,10,Onsite,56,0,3.68,False,2.49
IT,Male,27,Engineer,3,Bachelor,3,7800.0,40,14,0,7,Onsite,90,0,1.68,True,2.58
IT,Male,54,Manager,2,Bachelor,2,7200.0,36,13,8,11,Hybrid,68,2,4.89,False,3.91
IT,Female,53,Consultant,9,High School,5,8250.0,56,12,5,1,Remote,3,1,4.22,False,3.34
IT,Other,32,Analyst,1,Bachelor,2,4800.0,44,37,17,0,Remote,80,0,3.34,False,2.64
IT,Female,56,Developer,3,Bachelor,2,6000.0,53,43,29,2,Hybrid,54,0,3.82,False,2.5
IT,Female,32,Engineer,4,Bachelor,2,7200.0,60,20,25,5,Hybrid,39,2,1.83,False,2.85
IT,Male,44,Engineer,1,PhD,1,6600.0,31,31,13,14,Onsite,22,1,2.14,False,2.01
IT,Male,50,Consultant,0,PhD,3,7150.0,48,31,12,0,Hybrid,93,0,4.64,False,3.35
IT,Male,44,Manager,7,Bachelor,3,7800.0,58,28,0,5,Hybrid,55,1,1.68,False,2.73
IT,Male,26,Technician,1,Bachelor,5,5250.0,30,49,22,2,Onsite,31,0,1.78,False,2.51
IT,Male,59,Specialist,6,Bachelor,3,5850.0,35,46,0,11,Onsite,54,2,4.42,False,3.9
IT,Female,33,Technician,6,Bachelor,4,4900.0,33,2,28,12,Hybrid,57,2,3.11,False,3.85
IT,Female,53,Analyst,8,Bachelor,2,4800.0,31,3,21,8,Onsite,94,1,3.33,False,3.28
IT,Female,47,Analyst,4,Master,5,6000.0,41,7,4,5,Onsite,59,2,3.41,False,4.2
IT,Male,40,Engineer,4,High School,4,8400.0,54,41,28,9,Hybrid,6,0,2.62,True,2.22
IT,Female,32,Specialist,5,Bachelor,5,6750.0,35,41,8,0,Hybrid,92,0,4.25,False,3.74
IT,Female,49,Analyst,3,Bachelor,4,5600.0,59,24,1,12,Hybrid,75,0,2.6,False,2.91
IT,Female,47,Specialist,4,Bachelor,2,5400.0,57,6,24,12,Onsite,81,1,2.94,False,3.05
IT,Female,56,Developer,2,High School,3,6500.0,44,10,28,10,Hybrid,52,2,3.03,False,3.53
IT,Female,50,Engineer,1,Bachelor,1,6600.0,52,25,29,14,Onsite,97,1,3.99,False,3.23
IT,Female,42,Specialist,8,Bachelor,4,6300.0,59,40,13,5,Remote,86,1,4.15,False,3.91
IT,Male,55,Technician,9,Bachelor,1,3850.0,52,11,2,8,Onsite,90,2,3.51,False,3.54
IT,Male,30,Developer,3,Bachelor,2,6000.0,36,27,23,13,Remote,34,0,4.8,True,2.54
IT,Other,22,Technician,8,Bachelor,5,5250.0,49,5,24,11,Hybrid,54,2,2.47,False,3.91
IT,Male,24,Consultant,5,PhD,4,7700.0,52,3,14,7,Hybrid,38,2,1.95,False,3.37
IT,Female,53,Manager,4,High School,5,9000.0,31,35,11,3,Remote,92,2,1.79,False,4.13
IT,Female,58,Technician,2,Bachelor,5,5250.0,50,21,17,6,Hybrid,79,2,3.43,False,4.41
IT,Male,53,Analyst,9,Bachelor,5,6000.0,55,36,2,1,Remote,84,1,3.49,False,3.97
IT,Female,37,Engineer,5,Bachelor,2,7200.0,30,7,9,9,Remote,27,1,1.18,True,2.07
IT,Female,59,Technician,6,Bachelor,2,4200.0,41,46,20,6,Hybrid,38,0,3.19,False,2.18
IT,Male,23,Developer,4,Master,5,7500.0,46,43,11,0,Hybrid,80,1,1.02,False,3.31
IT,Male,57,Analyst,4,Bachelor,5,6000.0,31,33,14,5,Hybrid,52,2,2.02,False,3.78
IT,Male,36,Analyst,1,Master,5,6000.0,37,48,25,9,Hybrid,83,1,4.1,True,4.11
IT,Other,56,Engineer,5,Bachelor,4,8400.0,56,8,18,13,Onsite,84,1,3.35,False,3.69
IT,Female,44,Developer,3,High School,5,7500.0,57,48,28,0,Onsite,67,0,1.94,False,2.91
IT,Male,50,Engineer,7,High School,4,8400.0,45,2,1,5,Hybrid,94,1,3.76,False,3.89
IT,Male,58,Manager,6,Bachelor,2,7200.0,50,43,1,10,Remote,44,1,4.34,False,3.03
IT,Female,25,Engineer,6,Bachelor,2,7200.0,49,23,25,11,Onsite,84,0,1.08,False,2.12
IT,Male,52,Engineer,4,Bachelor,2,7200.0,48,23,10,0,Onsite,50,1,1.88,False,2.48
IT,Female,33,Analyst,6,Bachelor,3,5200.0,37,15,0,3,Onsite,21,0,4.14,False,2.5
IT,Female,57,Manager,7,Bachelor,3,7800.0,46,31,29,9,Remote,56,1,2.36,False,2.91
IT,Female,24,Analyst,3,Bachelor,2,4800.0,54,13,2,12,Onsite,46,1,2.83,False,2.67
IT,Male,39,Manager,4,High School,4,8400.0,36,36,22,2,Remote,98,1,1.8,False,3.44
IT,Female,59,Consultant,5,Bachelor,4,7700.0,30,3,24,12,Remote,7,2,4.38,False,3.67
IT,Female,26,Developer,4,High School,4,7000.0,51,3,8,11,Hybrid,93,2,2.35,False,4.03
IT,Male,31,Manager,4,Master,4,8400.0,55,10,8,14,Hybrid,75,1,4.08,True,3.78
IT,Male,46,Manager,2,Bachelor,5,9000.0,38,27,10,4,Onsite,47,1,2.32,False,3.3
IT,Male,28,Analyst,5,PhD,1,4400.0,50,37,0,14,Remote,32,0,4.28,False,2.14
IT,Male,32,Developer,8,High School,4,7000.0,57,35,2,10,Remote,66,0,2.27,False,2.73
IT,Male,41,Engineer,0,Bachelor,5,9000.0,34,47,21,13,Hybrid,73,2,1.18,False,3.78
IT,Male,25,Technician,2,High School,4,4900.0,33,41,4,0,Hybrid,3,2,2.99,False,3.28
IT,Female,42,Consultant,0,High School,3,7150.0,52,1,17,5,Hybrid,46,0,3.69,False,2.64
IT,Female,37,Manager,2,Bachelor,1,6600.0,47,31,18,14,Hybrid,43,2,3.76,False,3.12
IT,Male,39,Consultant,6,Bachelor,2,6600.0,45,7,17,10,Hybrid,88,1,1.7,False,2.81
IT,Male,50,Technician,6,High School,1,3850.0,32,12,7,12,Hybrid,43,2,1.65,False,2.6
IT,Other,33,Developer,3,Bachelor,4,7000.0,32,44,1,12,Remote,13,2,1.58,False,3.03
IT,Male,52,Analyst,6,High School,5,6000.0,60,21,1,10,Hybrid,78,0,1.69,False,2.96
IT,Male,26,Manager,5,Bachelor,4,8400.0,49,10,13,9,Hybrid,9,2,2.76,False,3.28
IT,Male,47,Consultant,1,High School,4,7700.0,57,21,1,13,Remote,72,0,3.52,False,3.11
IT,Female,36,Engineer,1,Bachelor,2,7200.0,49,9,18,1,Remote,94,0,4.36,False,3.04
IT,Female,43,Technician,0,High School,1,3850.0,49,4,4,13,Hybrid,86,2,1.1,False,2.89
IT,Other,50,Engineer,1,Bachelor,1,6600.0,35,31,22,12,Hybrid,37,1,3.13,False,2.41
IT,Female,58,Manager,0,Bachelor,2,7200.0,57,22,5,14,Onsite,62,0,4.68,False,2.8
IT,Female,52,Consultant,8,Bachelor,5,8250.0,40,26,3,4,Onsite,43,2,2.82,False,3.89
IT,Female,41,Analyst,8,Master,1,4400.0,33,41,2,9,Hybrid,89,2,3.64,False,3.56
IT,Male,28,Engineer,2,Bachelor,5,9000.0,43,40,12,11,Hybrid,25,1,3.53,False,3.39
IT,Male,39,Developer,9,Bachelor,4,7000.0,49,2,27,4,Remote,42,2,2.34,True,3.51
IT,Female,22,Developer,3,Bachelor,3,6500.0,50,30,28,11,Onsite,92,0,2.04,False,2.69
IT,Female,28,Engineer,1,High School,4,8400.0,56,49,0,12,Remote,39,0,1.24,False,2.2
IT,Male,49,Manager,6,Bachelor,5,9000.0,35,16,20,10,Onsite,22,1,3.65,False,3.38
IT,Female,39,Technician,9,High School,2,4200.0,44,35,27,6,Remote,99,0,3.46,False,2.86
IT,Female,24,Analyst,3,Bachelor,1,4400.0,35,23,14,5,Onsite,30,1,4.6,True,2.7
IT,Female,47,Manager,9,High School,2,7200.0,33,16,17,3,Remote,60,0,4.28,False,2.68
IT,Male,34,Developer,4,High School,1,5500.0,33,20,27,2,Onsite,92,2,3.8,False,3.63
IT,Female,60,Consultant,7,Master,3,7150.0,44,38,24,4,Onsite,2,0,1.66,False,1.69
IT,Male,36,Analyst,0,Bachelor,2,4800.0,40,42,5,9,Hybrid,54,2,2.6,False,3.2
IT,Male,38,Manager,5,Bachelor,4,8400.0,50,29,17,2,Hybrid,39,0,2.72,False,2.57
IT,Male,28,Specialist,4,Bachelor,2,5400.0,46,4,12,6,Hybrid,34,2,1.21,False,2.65
IT,Female,33,Developer,6,High School,4,7000.0,39,1,6,8,Onsite,79,1,3.53,False,3.68
IT,Other,27,Manager,7,Bachelor,3,7800.0,59,39,6,8,Hybrid,61,0,3.77,False,2.81
IT,Female,58,Specialist,9,Master,1,4950.0,48,15,24,0,Hybrid,76,1,1.98,False,2.51
IT,Male,60,Technician,6,High School,5,5250.0,51,9,24,3,Remote,8,0,1.07,True,2.1
IT,Male,23,Analyst,1,PhD,4,5600.0,44,23,24,12,Onsite,16,0,2.48,False,2.28
IT,Male,42,Specialist,0,Bachelor,3,5850.0,45,33,28,10,Remote,55,2,1.61,False,3.21
IT,Male,25,Developer,5,Master,5,7500.0,31,32,15,5,Hybrid,87,1,4.6,False,4.28
IT,Male,32,Technician,2,Bachelor,1,3850.0,35,13,12,6,Hybrid,36,2,1.59,False,2.51
IT,Male,52,Engineer,1,High School,2,7200.0,52,32,4,2,Remote,34,2,2.79,False,3.04
IT,Female,42,Consultant,3,Bachelor,5,8250.0,41,1,3,3,Hybrid,44,0,1.26,False,2.51
IT,Female,32,Technician,3,Bachelor,4,4900.0,59,12,17,8,Onsite,26,2,1.8,False,3.21
IT,Female,45,Consultant,0,Master,3,7150.0,58,10,16,7,Hybrid,21,1,1.18,False,2.26
IT,Male,30,Specialist,7,Bachelor,3,5850.0,54,4,11,12,Onsite,90,1,1.16,False,2.95
IT,Female,30,Consultant,4,Bachelor,4,7700.0,45,22,13,3,Onsite,60,0,4.51,False,3.23
